Date,Value
2020-01-16,65.62
2020-01-15,65.32
2020-01-14,65.63
2020-01-13,66.07
2020-01-10,67.02
2020-01-09,67.24
2020-01-08,69.58
2020-01-07,69.6
2020-01-06,70.87
2020-01-03,69.38
2020-01-02,67.13
2019-12-31,67.96
2019-12-30,68.89
2019-12-27,69.07
2019-12-26,68.48
2019-12-24,67.99
2019-12-23,67.58
2019-12-20,68.0
2019-12-19,67.93
2019-12-18,67.77
2019-12-17,67.48
2019-12-16,67.22
2019-12-13,66.76
2019-12-12,65.81
2019-12-11,65.38
2019-12-10,65.66
2019-12-09,65.57
2019-12-06,65.24
2019-12-05,64.81
2019-12-04,63.39
2019-12-03,62.57
2019-12-02,62.5
2019-11-29,63.83
2019-11-28,63.94
2019-11-27,64.4
2019-11-26,63.92
2019-11-25,64.21
2019-11-22,64.56
2019-11-21,63.68
2019-11-20,62.22
2019-11-19,62.51
2019-11-18,63.44
2019-11-15,63.12
2019-11-14,63.0
2019-11-13,62.48
2019-11-12,62.82
2019-11-11,62.26
2019-11-08,61.98
2019-11-07,62.32
2019-11-06,62.39
2019-11-05,62.57
2019-11-04,62.0
2019-11-01,60.19
2019-10-31,60.52
2019-10-30,61.24
2019-10-29,61.44
2019-10-28,61.65
2019-10-25,62.16
2019-10-24,61.63
2019-10-23,60.42
2019-10-22,59.78
2019-10-21,59.5
2019-10-18,60.06
2019-10-17,59.54
2019-10-16,59.28
2019-10-15,59.62
2019-10-14,59.95
2019-10-11,60.97
2019-10-10,58.74
2019-10-09,58.68
2019-10-08,58.56
2019-10-07,59.12
2019-10-04,58.62
2019-10-03,57.99
2019-10-02,58.75
2019-10-01,59.68
2019-09-30,61.09
2019-09-27,62.51
2019-09-26,62.31
2019-09-25,62.35
2019-09-24,63.93
2019-09-23,64.51
2019-09-20,65.3
2019-09-19,64.39
2019-09-18,64.57
2019-09-17,67.88
2019-09-16,66.43
2019-09-13,60.02
2019-09-12,60.51
2019-09-11,62.08
2019-09-10,62.74
2019-09-09,62.0
2019-09-06,60.75
2019-09-05,60.58
2019-09-04,58.97
2019-09-03,57.81
2019-09-02,58.76
2019-08-30,60.11
2019-08-29,60.24
2019-08-28,60.16
2019-08-27,58.98
2019-08-26,59.18
2019-08-23,59.67
2019-08-22,60.5
2019-08-21,60.66
2019-08-20,59.94
2019-08-19,59.46
2019-08-16,59.03
2019-08-15,58.77
2019-08-14,59.88
2019-08-13,59.34
2019-08-12,57.84
2019-08-09,57.88
2019-08-08,57.38
2019-08-07,57.7
2019-08-06,59.59
2019-08-05,60.41
2019-08-02,61.55
2019-08-01,63.37
2019-07-31,65.53
2019-07-30,64.62
2019-07-29,63.79
2019-07-26,64.02
2019-07-25,64.55
2019-07-24,64.58
2019-07-23,63.92
2019-07-22,64.27
2019-07-19,62.93
2019-07-18,63.1
2019-07-17,64.6
2019-07-16,66.13
2019-07-15,66.79
2019-07-12,67.36
2019-07-11,67.57
2019-07-10,66.1
2019-07-09,64.35
2019-07-08,64.72
2019-07-05,63.55
2019-07-04,63.43
2019-07-03,62.69
