"","date","price","asset","units"
"1",2012-09-11,31.4995,"usdrub","rub"
"2",2012-09-12,31.4432,"usdrub","rub"
"3",2012-09-13,31.0614,"usdrub","rub"
"4",2012-09-14,30.489,"usdrub","rub"
"5",2012-09-17,30.6219,"usdrub","rub"
"6",2012-09-18,30.898,"usdrub","rub"
"7",2012-09-19,31.196,"usdrub","rub"
"8",2012-09-20,31.2247,"usdrub","rub"
"9",2012-09-21,31.028,"usdrub","rub"
"10",2012-09-24,31.1305,"usdrub","rub"
"11",2012-09-25,31.195,"usdrub","rub"
"12",2012-09-26,31.2955,"usdrub","rub"
"13",2012-09-27,30.976,"usdrub","rub"
"14",2012-09-28,31.18,"usdrub","rub"
"15",2012-10-01,31.195,"usdrub","rub"
"16",2012-10-02,31.13,"usdrub","rub"
"17",2012-10-03,31.1483,"usdrub","rub"
"18",2012-10-04,30.98,"usdrub","rub"
"19",2012-10-05,30.9953,"usdrub","rub"
"20",2012-10-08,31.1718,"usdrub","rub"
"21",2012-10-09,31.14,"usdrub","rub"
"22",2012-10-10,31.1125,"usdrub","rub"
"23",2012-10-11,31.0282,"usdrub","rub"
"24",2012-10-12,31.095,"usdrub","rub"
"25",2012-10-15,30.9935,"usdrub","rub"
"26",2012-10-16,30.8465,"usdrub","rub"
"27",2012-10-17,30.741,"usdrub","rub"
"28",2012-10-18,30.7874,"usdrub","rub"
"29",2012-10-19,30.887,"usdrub","rub"
"30",2012-10-22,31.094,"usdrub","rub"
"31",2012-10-23,31.3699,"usdrub","rub"
"32",2012-10-24,31.43,"usdrub","rub"
"33",2012-10-25,31.375,"usdrub","rub"
"34",2012-10-26,31.3851,"usdrub","rub"
"35",2012-10-29,31.48,"usdrub","rub"
"36",2012-10-30,31.367,"usdrub","rub"
"37",2012-10-31,31.3375,"usdrub","rub"
"38",2012-11-01,31.2746,"usdrub","rub"
"39",2012-11-02,31.4672,"usdrub","rub"
"40",2012-11-05,31.6025,"usdrub","rub"
"41",2012-11-06,31.359,"usdrub","rub"
"42",2012-11-07,31.575,"usdrub","rub"
"43",2012-11-08,31.505,"usdrub","rub"
"44",2012-11-09,31.57,"usdrub","rub"
"45",2012-11-12,31.605,"usdrub","rub"
"46",2012-11-13,31.7469,"usdrub","rub"
"47",2012-11-14,31.703,"usdrub","rub"
"48",2012-11-15,31.661,"usdrub","rub"
"49",2012-11-16,31.7053,"usdrub","rub"
"50",2012-11-19,31.41,"usdrub","rub"
"51",2012-11-20,31.294,"usdrub","rub"
"52",2012-11-21,31.177,"usdrub","rub"
"53",2012-11-22,31.17,"usdrub","rub"
"54",2012-11-23,31.045,"usdrub","rub"
"55",2012-11-26,31.0047,"usdrub","rub"
"56",2012-11-27,31.0417,"usdrub","rub"
"57",2012-11-28,31.065,"usdrub","rub"
"58",2012-11-29,30.858,"usdrub","rub"
"59",2012-11-30,30.8617,"usdrub","rub"
"60",2012-12-03,30.8782,"usdrub","rub"
"61",2012-12-04,30.8358,"usdrub","rub"
"62",2012-12-05,30.789,"usdrub","rub"
"63",2012-12-06,30.947,"usdrub","rub"
"64",2012-12-07,30.818,"usdrub","rub"
"65",2012-12-10,30.783,"usdrub","rub"
"66",2012-12-11,30.7025,"usdrub","rub"
"67",2012-12-12,30.5415,"usdrub","rub"
"68",2012-12-13,30.729,"usdrub","rub"
"69",2012-12-14,30.7025,"usdrub","rub"
"70",2012-12-17,30.9715,"usdrub","rub"
"71",2012-12-18,30.735,"usdrub","rub"
"72",2012-12-19,30.76,"usdrub","rub"
"73",2012-12-20,30.6975,"usdrub","rub"
"74",2012-12-21,30.8239,"usdrub","rub"
"75",2012-12-24,30.6293,"usdrub","rub"
"76",2012-12-26,30.5798,"usdrub","rub"
